filename,expected_outcome,distortion,source,reason
contract_brewing_scenario1_dba__compliant.png,PASS,none,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
contract_brewing_scenario1_dba__compliant__angle.png,PASS,angle,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
contract_brewing_scenario2_multiloc__compliant.png,PASS,none,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
contract_brewing_scenario3_two_locations__compliant.png,PASS,none,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
contract_brewing_scenario3_two_locations__compliant__glare.png,PASS,glare,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
crowler__compliant.png,PASS,none,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
crowler__compliant__angle.png,PASS,angle,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
crowler__noncompliant.png,FAIL,none,TTB malt beverage label guide (TTB G 2023-9),"Net contents incorrectly shown as 32 OZ instead of 1 QT; ABV abbreviated as non-compliant ""ABV"" instead of ALC/VOL; class/type designation missing."
growler__compliant.png,PASS,none,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
growler__noncompliant.png,FAIL,none,TTB malt beverage label guide (TTB G 2023-9),Net contents incorrectly shown as 32 OZ instead of the required 1 QT (27 CFR 7.70); class/type designation missing (Name/Style field left blank).
growler__noncompliant__blur.png,FAIL,blur,TTB malt beverage label guide (TTB G 2023-9),Net contents incorrectly shown as 32 OZ instead of the required 1 QT (27 CFR 7.70); class/type designation missing (Name/Style field left blank).
keg_collar__compliant.png,PASS,none,TTB malt beverage label guide (TTB G 2023-9),Compliant example as published by TTB — all fields match.
keg_collar__noncompliant.png,FAIL,none,TTB malt beverage label guide (TTB G 2023-9),"Government Warning has lowercase ""surgeon general"" instead of ""Surgeon General"" and is missing required commas after ""General"" and ""machinery""; ABV left blank; class/type not selected from the available checkboxes."
keg_collar__noncompliant__glare.png,FAIL,glare,TTB malt beverage label guide (TTB G 2023-9),"Government Warning has lowercase ""surgeon general"" instead of ""Surgeon General"" and is missing required commas after ""General"" and ""machinery""; ABV left blank; class/type not selected from the available checkboxes."
